datum	nev	helyszin
1993.04.11	Eur?pa	Nagy-Britannia
1981.10.17	USA	USA
1975.08.17	Osztr?k	Ausztria
1954.06.20	Belga	Belgium
1981.05.31	Monacoi	Monaco
1990.09.23	Portug?l	Portug?lia
2004.03.21	Mal?j	Malaysia
1991.07.28	N?met	N?metorsz?g
2004.04.25	San Marinoi	San Marino
1968.08.04	N?met	N?metorsz?g
1956.05.30	Indy 500	USA
1994.08.14	Magyar	Magyarorsz?g
2001.09.30	USA	USA
1968.05.26	Monacoi	Monaco
2004.03.07	Ausztr?l	Ausztr?lia
2005.03.20	Mal?j	Malaysia
1990.05.13	San Marinoi	San Marino
1994.08.28	Belga	Belgium
2005.09.25	Brazil	Braz?lia
1962.05.20	Holland	Hollandia
1962.08.05	N?met	N?metorsz?g
1975.07.06	Francia	Franciaorsz?g
1959.08.23	Portug?l	Portug?lia
1995.09.24	Portug?l	Portug?lia
1982.08.29	Sv?jci	Franciaorsz?g
1959.05.10	Monacoi	Monaco
1960.06.06	Holland	Hollandia
1993.03.14	D?l-Afrikai	D?l-Afrika
1990.03.25	Brazil	Braz?lia
1968.11.03	Mexik?i	Mexik?
2003.05.18	Osztr?k	Ausztria
1965.08.01	N?met	N?metorsz?g
1954.05.31	Indy 500	USA
1994.03.27	Brazil	Braz?lia
2000.05.07	Spanyol	Spanyolorsz?g
1980.05.18	Monacoi	Monaco
1962.10.07	USA	USA
1990.05.27	Monacoi	Monaco
1951.06.17	Belga	Belgium
1963.08.04	N?met	N?metorsz?g
1967.01.02	D?l-Afrikai	D?l-Afrika
1968.06.23	Holland	Hollandia
1977.05.22	Monacoi	Monaco
1999.03.07	Ausztr?l	Ausztr?lia
1963.05.26	Monacoi	Monaco
1978.05.21	Belga	Belgium
1989.11.05	Ausztr?l	Ausztr?lia
1993.07.04	Francia	Franciaorsz?g
